Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
134891,Fragments,Heraclitus,"Heraclitus, Heraclitus","Brooks Haxton, James Hillman",0142437654,9780142437650,0,4.18,Penguin Classics,Paperback,97,2003,-500,,12/24/2021,to-read,to-read (#88),to-read,,,,0,0
8414574,Painters in Hanoi: An Ethnography of Vietnamese Art,Nora Annesley Taylor,"Taylor, Nora Annesley",,0824833554,9780824833558,0,4,University of Hawaii Press,Paperback,192,2009,2004,,12/18/2021,to-read,to-read (#87),to-read,,,,0,0
18521,A Room of One's Own,Virginia Woolf,"Woolf, Virginia",,,,0,4.2,Penguin Books,Paperback,112,2000,1928,,12/13/2021,to-read,to-read (#86),to-read,,,,0,0
46164,Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Amor Towles,,,0,3.8,Scribner,Paperback,315,1995,1934,,12/13/2021,to-read,to-read (#85),to-read,,,,0,0
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,0679723056,9780679723059,0,4.09,Vintage Books,Paperback,159,1989,1981,,12/9/2021,to-read,to-read (#84),to-read,,,,0,0
53215250,The Dangers of Smoking in Bed,Mariana Enríquez,"Enríquez, Mariana",Megan McDowell,0593134079,9780593134078,0,3.88,Hogarth Press,Hardcover,208,2021,2009,,12/9/2021,to-read,to-read (#83),to-read,,,,0,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,1472223799,9781472223791,0,4.23,Tinder Press,Hardcover,372,2020,2020,,12/9/2021,to-read,to-read (#82),to-read,,,,0,0
29214420,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,Kate Raworth,"Raworth, Kate",,1847941389,9781847941381,4,4.2,Random House Business,Paperback,384,2017,2017,,10/22/2021,,,read,,,,1,0
22296279,Gió đầu mùa,Thạch Lam,"Lam, Thạch",,,,0,4.09,"Hội Nhà Văn, Nhã Nam",Paperback,184,2014,1937,,4/15/2020,to-read,to-read (#25),to-read,,,,0,0
10054335,Rules of Civility,Amor Towles,"Towles, Amor",,,,4,4.07,Viking Adult,Hardcover,335,2011,2011,,9/8/2021,,,read,such lovely characters,,,1,0
46199,Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria","Franz Xaver Kappus, Reginald Snell",0486422453,9780486422459,0,4.3,Dover Publications,Paperback,80,2002,1929,,10/4/2021,to-read,to-read (#81),to-read,,,,0,0
